auteur,commentaire,likes,date_publication
@julesbigot4509,SQUEEZIE faut tu prennes Naza et Gradur,0,2025-05-10T02:58:48Z
@loulouderon000,"Le montage son c'est du Mozart ! Trop d'idées à la seconde, trop bien exécutées. L'impression d'être devant un cartoon du turfu. Force la team.",258,2025-05-10T02:33:14Z
@lartist346,"Le monteur il a mi des petits détail tout le long il régale , quelle constance🎉😊",0,2025-05-10T02:26:23Z
@WishiBaby-p3r,Sephora 😂😂😂,0,2025-05-10T02:06:21Z
@kambi3961,incroyable l’épisode 😂😂😂,0,2025-05-10T01:39:43Z
@Bolnosaur,Masterclass au montage à chaque épisode bordel,0,2025-05-10T01:28:28Z
@akologie7081,Le montage est top juste svp levez le pied sur les bruitages les oreilles saturent XD,2,2025-05-10T00:48:34Z
@Andy82000,Tiakola a pas l’air d’avoir inventé l’eau chaude…,3,2025-05-10T00:36:04Z
@maquessou,Superbe vidéo !,0,2025-05-10T00:30:50Z
@nicolasmorin9763,Yo je suis au Québec quel qu’un sait si les boisson CIAO sont arrivé ou arriveront ici ?,0,2025-05-10T00:25:21Z
@Blerkk_,Lol trop marrant le problème de maths avec la drogue looool,0,2025-05-10T00:12:32Z
@Sir.AMAZIGH,c'est alcolique ?,0,2025-05-10T00:08:53Z
@bimiso6868,RAMÈNE ANYME ET GRANDINGO OU LEBOUSEUH. sinon Isak hadjar ça serai pas mal. continue comme ça.,0,2025-05-09T23:59:26Z
@tayebfassifihri7118,"Message pour squeezie :
25:00 les problemes que tu donnes à tes invités sont racistes. Pourquoi les invités ont eu des problemes faisant allusion des cliches racistes alors que toi, tu n'as eu que un probleme faisant allusion à un jeux vidéos",1,2025-05-09T23:52:39Z
@greeentea132,"Coucou ✨️ pour ceux qui ne le savent pas et qui boycottent, il faut boycott Lays.",0,2025-05-09T23:51:40Z
@Maaax-w4f,Squeez oublie le marcel la prochaine fois 😂😂😂,1,2025-05-09T23:26:10Z
@waiz0231,Ca en est ou ton arnaque crypto avec ton frère?,0,2025-05-09T23:21:49Z
@mitchDP13,1er degré c'est le meilleur qui est l'imposteur tous épisodes EVER !,3,2025-05-09T23:21:44Z
@thomasleberre1119,"Euh c'est qui ces bronzes ? En 2025, tu as plus vitaif de faire un Bercy qu'une bijouterie",1,2025-05-09T23:14:07Z
@AmediBazonga,La mangeuuu🥭,0,2025-05-09T23:10:14Z
@elkomnerie,Pythagore en 3è ? o_O,0,2025-05-09T22:54:25Z
@cl_smoker4077,au pire fait ca avec des mecs connus non?,1,2025-05-09T22:51:33Z
@Ririreee,Sdm il est trop drôle,0,2025-05-09T22:44:28Z
@anne-charlottecipreo9253,FOU RIRE DE A À Z,1,2025-05-09T22:39:44Z
@SharonPembe,"""o'a zoba, yo! j't'avais dit!!",0,2025-05-09T22:34:49Z
@Ashchronf,Meilleur vidéo de ma vie,0,2025-05-09T22:31:55Z
@WendyKovrask,Le moment des chirurgiens j’ai kiffé et Caro elle est géniale je veux qu’elle revienne,0,2025-05-09T22:30:05Z
@mathataurio2311,Le deuxième professeur de maths avait raison sur la question une mdr ! Il peut pas faire en 26 minutes 8 km alors qu'il marche à 5 km/h!,0,2025-05-09T22:25:46Z
@KevinF-zn9bl,Prochain invitée prend PLK s’il te plaît 🙏🏻 🔥,0,2025-05-09T22:20:44Z
@lepanda1792,30:35 je vroyais que c’était l’imposteur qui entrer mais nonnnn,0,2025-05-09T22:19:19Z
@EliABITI,SDM on verra bien,1,2025-05-09T22:18:14Z
@MRS.CHRISTA,Incroyable j’ai tellement rigolé 😂😂😂😂 Les prochains GRADUR ET NAZA SVP 😌🤣,0,2025-05-09T22:14:54Z
@ahamadarifanti3260,SDM il est super drôle 😭🤣🤣🤣,0,2025-05-09T22:11:47Z
@AnnaïsRIEM-x4k,🥭,0,2025-05-09T22:09:14Z
@blancdeladinde,"Juste phénoménal, et le montage quel régal je suis dead",1,2025-05-09T22:06:05Z
@pierrevincent3786,Top vidéo,0,2025-05-09T22:02:33Z
@akbulutmehmet-ali7495,une vidéo top 👍,1,2025-05-09T22:00:58Z
@rolly97420,"Après pour le calcul des quartiers il est mal expliqué, je pense qu'il a pensé que pour chaque quartier fait 2km du coup 8 km à traverser plus le temps perdu.",0,2025-05-09T22:00:06Z
@Hopethepoor,(32:51) La connection noiritude,0,2025-05-09T21:56:07Z
@JulietteSaladin-b7i,Le meilleur trio ❤,1,2025-05-09T21:55:15Z
@tobiasgillabert8151,La mangue 🥭 ×🎱 😂😂😂,1,2025-05-09T21:50:27Z
@magloirebaka7637,Un plat qui s'boit haa le S 🤣🤣🤣,0,2025-05-09T21:50:14Z
@Ashavardane,32:49,0,2025-05-09T21:46:16Z
@Mineraf7,le générique de fin c'est pour m'abattre jpp🤣🤣,0,2025-05-09T21:45:46Z
@sgr-l6y,Je me suis marrée du debut a la fin ! Genial !,1,2025-05-09T21:44:50Z
@clra3906,Par contre les invités sont bêtes et parlent grossièrement 🤮,3,2025-05-09T21:42:11Z
@Ashavardane,28:41 😂trop drôle,0,2025-05-09T21:41:29Z
@Val-u3z,mangue,0,2025-05-09T21:40:49Z
@BlueVelvet777,"c'est la pire émission, les rappeurs sont trop débiles",3,2025-05-09T21:38:13Z
@hkykz8801,lucas la vibe et la voix de fou !,0,2025-05-09T21:27:19Z
@Hopethepoor,La casquette Tiakola qui passe par tout les poins cardinaux jpp,0,2025-05-09T21:24:22Z
@nesss4886,😂😂😂😂😂😂😂😂,0,2025-05-09T21:23:59Z
@RandyTribouilloy-w8h,wsh il a des muscle squeezie,0,2025-05-09T21:21:47Z
@Rachel.2702,Tiakola 💍❤,0,2025-05-09T21:20:50Z
@MaxWilmottz,le marie de caroline en sueur,0,2025-05-09T21:18:49Z
@ismacombo4094,Franchement 10/10,0,2025-05-09T21:12:20Z
@hkykz8801,ya que moi qui trouve que les sons en arriere plans sont trop fort ??,0,2025-05-09T21:07:14Z
@Ashavardane,Incroyable,0,2025-05-09T21:05:14Z
@helenebienvenue9667,LE MONTAGE INCROYABLE ! 😂😂😂,0,2025-05-09T21:02:51Z
@VaimeY,Lol c'est Fergus par Ferguson,0,2025-05-09T21:02:00Z
@Luv.adrianaa,Les montage je kiffe je faisais que de rigoler à chaque fois que SDM disait la mangue 😂😂,0,2025-05-09T21:00:21Z
@MaxWilmottz,frantz,0,2025-05-09T20:56:51Z
@mariuslacoste8074,47:53 Vincent Dedienne ptn 😂,0,2025-05-09T20:53:49Z
@mattifaure8019,Le trio de mégas harceleur 🤣,0,2025-05-09T20:52:41Z
@chrisalex82,"on connais tellemtn de tes proches mtn
tellement de gens à prendre en hotage mdr
csgo",0,2025-05-09T20:45:28Z
@SergioRamos-f9b,Doses sur les pubs stp,0,2025-05-09T20:35:06Z
@Lelyaah,l'outro mais sauvez moi 🙏🏼 merci le monteur 😭,0,2025-05-09T20:30:46Z
@cassiopeeware5159,imposteur avec des doubleurs et doubleuses ce serait dingo,1,2025-05-09T20:26:30Z
@lulbrt2871,"Par contre le problème de la tempête : Il suffisait de faire 5x60s = 300 soit 300m/minute et 6000/300 =20 minutes 😅 J’ai trouvé ça si inutilement compliqué sa résolution. Autre truc Si la tempête se déplace à 2km par minute Squeezie n’arrivera pas avant la tempête… il va juste crever. 
Sinon Frantz qui a raison et ça se moque allègrement alors que s’il a 8km à parcourir et qu’il marche à 5km/h par définition il lui faut plus d’une heure et ça se moque allègrement à 3 sans remarquer le truc c’est chaud 😅 et j’ai arrêté maths en première mais là c’est juste du bon sens.",0,2025-05-09T20:25:27Z
@maxencemeyer3749,"Le niveau des deux rappeurs sérieux, le comportement de collégiens de fond d'classe, on souffle si c'est ça les idoles des ados",0,2025-05-09T20:23:06Z
@nawellbkz8702,le concept est INCROYABLE mais si les questions posées étaient plus pertinentes ce serait tellement mieux,0,2025-05-09T20:19:34Z
@_cleo._,Caroline elle avait une bonne humeur de fou je l aime trop,0,2025-05-09T20:12:46Z
@92i.13,SDM il est tellement drôle en plus j’attends sa tournée à marseille,0,2025-05-09T20:08:02Z
@samueljoseph2358,Le peuple réclame une partie 2,0,2025-05-09T20:06:59Z
@run_team4452,Le montage 🤌🏼,0,2025-05-09T20:00:11Z
@ravenn_07,Ah je les kiffe c’est trop drôle 😹😹😹,0,2025-05-09T19:59:28Z
@SaliouNdoye-mc8yh,suis obligé de la revoir,0,2025-05-09T19:57:09Z
@zedgil,J'ai failli crever quand Tiako danse après la choré des claquettes 🤣,0,2025-05-09T19:47:04Z
@charlenelbg7463,"""C'est un prof frère téma les poses"" MDRRRRRRR",0,2025-05-09T19:42:55Z
@kevinfrancisco6504,"je me doutais que c'était JP l'imposteur quand il y a cette blague à 48:25 et qu'en rigolant, JP n'a pas compris la blague, mais surtout les vrais chirurgiens se sont regardés entre eux en rigolant sans faire attention à JP.",0,2025-05-09T19:41:26Z
@TracyMuheto-n3w,"35/9😂😂😭17,5",0,2025-05-09T19:36:19Z
@maximeeuziere,personne s'est dit que commencer sa carrière de chirurgen à 25 ans avec 12 ans d'études c'est pas normal,0,2025-05-09T19:34:42Z
@krysmatthew2272,45:38  jp appartient du moment où il dit qu’on met des caméra dans le genoux j’ai su que c’est lui l’imposteur 😂😂😂,0,2025-05-09T19:33:57Z
@mcr1679,"c'est squeezie qui rigole ""krkrkrkrkr""?",0,2025-05-09T19:32:15Z
@geffrayhugo3620,"Un peu nul, rien qu’au faciès je savais qui était l’imposteur…",0,2025-05-09T19:30:39Z
@babomalik1084,Ça deviens nul,1,2025-05-09T19:30:37Z
@Militia_Misaki,J'ai juré le monteur il s'est régalé sur le montage j'adore XD,0,2025-05-09T19:23:55Z
@gube2344,franz ty es un tigre,0,2025-05-09T19:21:47Z
@elisemysona9036,Tu pourrais faire qui est l'imposteur avec des collégien ?,0,2025-05-09T19:20:00Z
@unnompourquoifaire4264,On en parle des yeux de squeezie 😮,0,2025-05-09T19:19:28Z
@Tlerodas,La Mangue,0,2025-05-09T19:18:46Z
@InFire-99,Les deux invités jouent tellement bien le jeu❤,1,2025-05-09T19:17:29Z
@nalydsenpai8486,Je suis le seul à penser que le language de squeezie c’est de pire en pire ? Trop vulgaire,0,2025-05-09T19:15:36Z
@adelie6076,Woaaaaw a 11:48 il ressemble de fou à Jean Dujardin 😮,0,2025-05-09T19:13:09Z
@TheCamelPenseur,"Je suis mixologue mais c'était quand même difficile de deviné, le bar c'est trop facile a bluff",0,2025-05-09T19:02:19Z
@behix7662,Le pressing que les gens ont pris par les trois là mdrrr c'était fouuu,1,2025-05-09T19:00:13Z
@luluduff9870,"Enguerrand je sais pas s'il est barman, mais je m'en fous je crois",0,2025-05-09T18:57:26Z
@doxy_4,J'aime trop continue 🌸✨️,0,2025-05-09T18:57:17Z
@louannelemarec5488,j'ai eu tout juste dans mes déductions c'est le plus beau jour de ma vie,1,2025-05-09T18:53:31Z
@Jxst_Aya-67,La mangue jpp 😂😂,1,2025-05-09T18:49:31Z
@BannssTv,tiako il etait peter sur chaque plan ces vrmt le goat,0,2025-05-09T18:44:35Z
@FamilleLaügt,"Trop drôle , j'ai bien aimé. 

Léna 11 ans.",1,2025-05-09T18:42:25Z
@NellyTadsard,Franchement Moahd bone vibe,1,2025-05-09T18:38:51Z
@Lison-d2p,MDR 😂,1,2025-05-09T18:38:11Z
@unba7226,Robestine 🤙,0,2025-05-09T18:34:27Z
@NellyTadsard,"Une chose est sûre 
Le cocktail de Victoire était bon",2,2025-05-09T18:31:40Z
@CaptainNRC,"Pour la partie Chir, j'ai connue il me semble cette dame est a la Salpé. Elle a opéré sous la direction du sénior ma Femme sur un fracture bassin avec deplacement des vertébres lombaire. 
Et apres cette interventions, tout vas bien.
Ca me choque unpeu de vous voir ici, je sais pas si vous verré mon com mais je vous en remercie pour votre travaille et tout le systeme para medical pour adier ma femme pendant ces mois de rééduc. 
Merci encore je vous aime comme j 'aime l'humanitée.
Merci a vous",0,2025-05-09T18:25:45Z
@Nour244-v5x,Robestine ✌🏽🤣🤣🤣,0,2025-05-09T18:15:38Z
@kristen8880,bon ben j'ai trop ri ! Meilleur épisode !,0,2025-05-09T18:09:35Z
@Al.wa3el,"5x 1200 = 6000m soit 6km, 1200s = 5min pk il calcul les km/k vincent, sa degaine de comedien de piece de theatre",0,2025-05-09T18:09:16Z
@servicecambriolagegrosbg1332,"Merci pour tous ces moments de rappel sur les métiers qui vont mal, c'est vraiment cool !!",1,2025-05-09T18:08:35Z
@CaptainNRC,"Lucas merci pour tout, tu es la personne qui apres les rush nous fasses rigoloer?
Merci a toi Lucas...
On peut date?",0,2025-05-09T18:06:49Z
@Al.wa3el,35/9 = 17.5,0,2025-05-09T18:03:35Z
@Ccerox,11:38 engerannnnnnnnnnn 😂😂😂😂😂,3,2025-05-09T17:58:53Z
@joshuaacatiapa7106,Jai pété ma barre c'est bon pour vous?!😂😂😂😂😂😂,0,2025-05-09T17:57:51Z
@LabatteNormande,"Sdm qui bouscule tout le monde quand il est plié 😂😂
Tiako qu'est pas du tout concentré avec sa casquette dans n'importe quelle pose  😅
Le montage est clean chapeau l'équipe 👍👍😋",0,2025-05-09T17:53:39Z
@medlyn5482,C’est quoi le modèle de la casquette à tiakola ?,0,2025-05-09T17:47:25Z
@nadianadia2428,Tu peux faire avec fave et kerchak,0,2025-05-09T17:45:00Z
@Anouk_L-d6t,On a refait les problèmes de maths en cours avec notre prof je suis morte 🤣🤣,0,2025-05-09T17:43:05Z
@thibaudgonzalez118,"Rien n'était juste pour l'épreuve de Franz. La bonne réponse est 1h38. 1h36 pour traverser sans les ralentissements, et en rajoutant les 2min pour éviter les embrouilles, ça ne donne pas 1h34 mais 1h38",0,2025-05-09T17:33:00Z
@noam.elmordjene,incrr la vid🔥🔥,0,2025-05-09T17:15:42Z
@djrzoul1820,J’en connais aucun,0,2025-05-09T16:57:35Z
@Larry34000,j'ai cru qu'Arhtur c'était Vincent Dedienne !,0,2025-05-09T16:46:50Z
@sasasinthesiz7413,Par rapport à la boisson je veux bien qu'on m'explique comment c'est scientifiquement possible que lorsque des bactéries consomment du sucre ça fait d'autres bactéries ?? C'est probablement juste pas les bons mots qui ont été utilisé mais du coup ça a pas vraiment de sens là,0,2025-05-09T16:40:07Z
@louismartin6588,Le QI des invités dépasse pas les 2 chiffres,0,2025-05-09T16:39:54Z
@Gros_crane_chauve,21:51 moi je l'ai vu en 4e perso,0,2025-05-09T16:36:38Z
@paulhynn7537,Robestine,0,2025-05-09T16:36:20Z
@sywar_la_tunisienne,La mangeuhh😂😂,0,2025-05-09T16:31:21Z
@LANCIIIIENNN,La MANGEEUH,2,2025-05-09T16:28:39Z
@sywar_la_tunisienne,Robestine🤘🏽😂😂😂😂,0,2025-05-09T16:28:28Z
@allo5072,Les guest sur cet épisode c’est bof tiers,2,2025-05-09T16:25:53Z
@makakak5722,Il marche à 5 km/h et il prend 26min pour faire 8km mdr ça doit être ça,0,2025-05-09T16:25:39Z
@pierrelm5633,SDM il est beaucoup trop drôle jpp,1,2025-05-09T16:24:13Z
@Bobitshek,Robestine ça va devenir la trend du siècle 🎉,0,2025-05-09T16:23:59Z
@gallaisjeremy8656,Le niveau a baissé en Maths? On étudiait Thalès et Pythagore en 4ème à mon époque...😅,2,2025-05-09T16:23:32Z
@Bibish-T,C’est la 3e fois que je regarde la vidéo 😭❤️❤️ je m’en lasse pas,0,2025-05-09T16:19:58Z
@r4y4n64,"""la Mangue"" nan ce jingle c trop",0,2025-05-09T16:19:39Z
@Jimaniki,"Tiakola 70 de QI , il est totalement demeuré le pauvre garçon.
Incroyable qu'il soit autant suivi, on vit vraiment dans une idiocratie",3,2025-05-09T16:19:35Z
@omarkendy7371,Les pires invités du jeux,3,2025-05-09T15:57:29Z
@minidou4301,Et c'est ciao!❤,0,2025-05-09T15:55:34Z
@minidou4301,Jaurai voulu entendre les explications de caroline 😂,0,2025-05-09T15:54:33Z
@sifoura3941,Mec C la 4ème fois que je regarde la partie avec Caroline sa me fume de rire 😂😂😂,0,2025-05-09T15:35:49Z
@n-u-xa-r-t6463,23:47 c'est 1h34 la reponse non ?? en tout cas ca peut pas etre 26 min,0,2025-05-09T15:28:29Z
@VLONE_ON_MY_SET,😂😂😂,0,2025-05-09T15:21:24Z
@sultaner3202,Frank le boeuf gâche tout 😔,1,2025-05-09T15:19:03Z
@Sulivan-yl5hh,Ah quand Pascal et Etchebest ?,2,2025-05-09T15:17:14Z
@Theobonono,Salut. Tu as été nommé par Mira pour faire le ice bucket challenge,1,2025-05-09T15:13:44Z
@victorflantier9024,"C'est quoi une boisson naturelle? Parce que là concrètement c'est issu d'un processus de production 😅 en outre si les sodas sont des ""saloperies"" c'est parce qu'ils sont plein de sucres. Si votre boisson contient du sucre aussi, quel intérêt? Buvez de l'eau les frères. C'est naturel et sans sucre.",1,2025-05-09T15:07:19Z
@francktio6000,11:41 🤣🤣,0,2025-05-09T15:06:04Z
@Jadee.2k,Caroline et SDM y’a un coup de foudre nan 👀,1,2025-05-09T14:59:45Z
@micaheintz,"Squeezie, conseil, un épisode avec Bob Lennon mais c'est fini XD le gars il te refais l'émission",1,2025-05-09T14:50:40Z
@rspixels1497,Il faut inviter naza et gradur!!!!!!!,0,2025-05-09T14:45:13Z
@Antoinesollier,"Les monteurs sont vraiment des génies ma parole, j'ai même pas fini la vidéo que j'étais olibgé de commenter ! Franchement bon travail !",112,2025-05-09T14:38:51Z
@Adam-j7b,trop d'effets sonores frère c'est quoi ça on est où,0,2025-05-09T14:30:43Z
@snipiouz2317,Gloire au monteur 🔥,0,2025-05-09T14:29:50Z
@Carlahaf,le montage pendant la présentation de Caroline ptdr il est excellent,0,2025-05-09T14:21:46Z
@lenzioiff,La mangeuhhh,1,2025-05-09T14:15:47Z
@fohasipro7846,Désolé mais meilleur épisode so far. jai tellement goleri,0,2025-05-09T14:15:00Z
@leleua,"Sinon pour ceux qui passent à Rouen, l'absinthe est un superbe bar avec de bons cocktails place du vieux marché. 
Donc Enguerrand a bon goût au moins 😂",0,2025-05-09T14:14:49Z
@GEEKSTUDIO24,Trop bien comme d’hab,0,2025-05-09T14:14:16Z
@calaniov1471,C'est de la physique pas des maths la,1,2025-05-09T14:12:53Z
@vmapodcastshow,Régalade !,0,2025-05-09T14:09:26Z
@Kpopfanfic18,15:28 « oza zoba yo je s t’avais dis » eh 😂😂😂😂 😭,0,2025-05-09T14:06:19Z
@yaelflamon,j'ai vue tiakola a Nantes c'était incroyable,0,2025-05-09T14:05:55Z
@andersencryptoetastucesdud1946,Masterclass,0,2025-05-09T14:03:07Z
@YelenaQueen-d4p,Qui revient de tiktok ? Comme moi,1,2025-05-09T14:02:08Z
@A05_OVERFOX,"le faux prof avait raison, si chaque quartier fait 2km alors ca fait bien 1h38 mais si la distance des 4 quartiers est de 2lm alors là ça fait 26min",0,2025-05-09T13:59:23Z
@melou_-dt3yv,Le prix des boissons fait mal...,0,2025-05-09T13:55:18Z
@louisss562,"sdm est casse-couille du début jusqu'à la fin et tiacola inexistant et inutile , ça fait longtemps j'attendais un nouvel épisode grave déçu que ce soit avec ses deux singes là",3,2025-05-09T13:54:21Z
@maevazb,Tiakola il s’ennuie ??? 😂😂😂😂😂😂😂😂,0,2025-05-09T13:52:33Z
@mikokingofficiel9951,Non mais le montage c'est ouf 🎉🎉,0,2025-05-09T13:43:03Z
@hs_l0v3,32:51 MDRR,0,2025-05-09T13:40:50Z
@hatoumaaa,incroyable,0,2025-05-09T13:38:31Z
@zaoleguenan7917,caroline <3,0,2025-05-09T13:32:03Z
@sasadujapon9603,la mangue,0,2025-05-09T13:21:05Z
@paulinesie2116,KambuCiao …ça aurait été stylé,0,2025-05-09T13:20:23Z
@hs_l0v3,16:24 LA MANGEUH🤣🤣,0,2025-05-09T13:20:19Z
@Benjamin-M,"La question d'accélération pour des maths c'est moyen, on est pas en physique",0,2025-05-09T13:14:01Z
@hatoumaaa,"hilaranteeeeeeeeee la video
!",0,2025-05-09T13:06:50Z
@islam942,32:50 légendaire 😂😂,0,2025-05-09T13:04:57Z
@zackarion2467,🥭 La manguue derrière l’épaule de SD ahhhh j suis mort 🥭 😂😂😂😂,0,2025-05-09T13:04:52Z
@anaellecuvelier1340,Alors du coup ça fait 1h38 le calcul raté mais az,1,2025-05-09T13:04:12Z
@adrien.geoffres21,Il à des airs à 50 cent tiakola non ? 🔥🔥,0,2025-05-09T13:04:01Z
@Benjamin-M,"22:54 pas besoin d'utiliser les 3,6 à mon sens.
5m -> 1s ça équivaut à 300m en 1 min soit 0,3km/min

Aussi pas besoin d'utiliser v=d/t
0,3km -> 1min
6 km -> ? min
6*1/0,3 = 60/3 = 20 min

Produit en croix c'est la vie",0,2025-05-09T13:03:40Z
@theworldexplorer7651,"Vraiment l'une des meilleurs vidéos des imposteur le duo m'ont terminé, BIG UP au monteur !",1,2025-05-09T13:02:26Z
@maximeschiavone,J'espère le monteur il a un salaire à 5 chiffres,0,2025-05-09T12:56:22Z
@jeremys9283,"Aaah le montage sur les explications d'interventions chirurgicales, il m'a tue ! GG le monteur !",0,2025-05-09T12:52:40Z
@yukkyyukky9854,Il me faut les explications des calculs j’ai aussi trouvé 1h34 moi mdr,0,2025-05-09T12:32:04Z
@Levertlock,Tiakola en 1h de vidéo sa casquette elle a fait 8 fois le tour de sa tête,1,2025-05-09T12:28:29Z
@miriame1640,Ouah meilleur vidéo 😂,0,2025-05-09T12:26:33Z
@tinoere-w9r,Le prof d'EPS qui et pote avec SDM mdr ces élèves vont le respecter toute l'année,1,2025-05-09T12:26:01Z
@Machtag_le_abérant,Robestine 😅😅😅😅,1,2025-05-09T12:25:30Z
@alanadjibola8346,Le monteur un géni !!!,0,2025-05-09T12:25:09Z
@BS_ST182,Jp c’est Frank ropers 😂,0,2025-05-09T12:20:40Z
@ELIE___,Mdr Tiako il est tdah c'est pas possible,1,2025-05-09T12:04:46Z
@koro-senseii,Il est nécessaire que SDM ouvre une chaîne YouTube. Pour le bien de l'humanité je vous en supplie.,2,2025-05-09T12:02:46Z
@honeyygloww,enguerran il ressemble à Jacob elordi un peu,0,2025-05-09T11:59:44Z
@sofianeso3528,Par pitié invite Naza et Gradur 🤣🤣🤣,1,2025-05-09T11:59:37Z
@Machtag_le_abérant,MANGUE😅😅😅😅❤,1,2025-05-09T11:57:04Z
@noosicaa,""" La mangueu ""🫠🤣😂",0,2025-05-09T11:43:35Z
@Anyeon_Gyoza,28:45 Tiakola si tu es en danger cligne des yeux,0,2025-05-09T11:42:38Z
@RnCbz-u7d,4 jours 10 000 000 !!!,2,2025-05-09T11:41:22Z
@arthurrheel,On veut le feat avec Naza et Gradur,0,2025-05-09T11:41:17Z
@yonberasaluce4732,Le niveau des invités est vraiment éclaté.. Tiakola c’est le renoi à l’ouest de base la flemme,2,2025-05-09T11:30:37Z
@MayesGTAV,Luca il a puer des noirs,1,2025-05-09T11:29:45Z
@youssouftoure3642,SDM c’est un gamin 🤣🤣🤣,1,2025-05-09T11:29:04Z
@Bts-jikook7,Tiakola il aime rien 😂,0,2025-05-09T11:27:24Z
@mmbmm2610,Il a rien dans le crâne Tiakola c'est ouf,3,2025-05-09T11:25:54Z
@zodia5693,"Jimmy neutron ? Vous lui avez même pas demander quelle classe il avait , quel manque de respect",0,2025-05-09T11:22:36Z
@Cam-gc8xx,"Le montage mais quelle dinguerie mdr c’est ce qui me fait le
Plus rire 😂 bravo les artistes",3,2025-05-09T11:14:44Z
@y_78grn.gaming,le moment des chirurgiens trop drole 🤣,0,2025-05-09T11:12:03Z
@PriscillaaLewiss,On s'est regalés a écouter toute la vidéo et surtout la partie avec Enguerrand car ici j'ai mon Enghéran et le fait d'entendre 20 fois son prénom et surnom ça nous a bien fait rire! 🎉,0,2025-05-09T11:08:00Z
@nouveauzangetsu,jean pierre il a 49 ans ou 50 ans,0,2025-05-09T10:57:53Z
@Ethaniel187,"c'etait grillé des le début que c'etait jean-pierre l'imposteur, il a dit : j'ai 50 ans et je suis chirurgien depuis 25 ans, si tu enleves les 12 ans d'etude... c'est grillé direct...",1,2025-05-09T10:50:23Z
@ebubekircakici744,Omerta non complet,0,2025-05-09T10:43:47Z
@JonathanMarquis-u6l,50ans . 25ans de métier donc début chirurgien 25 ans -12ans d étude... il a commencé à 12/13ans les étude de médecine,0,2025-05-09T10:37:00Z
@nicolasjulien3440,Salut à tous 🎉,0,2025-05-09T10:29:29Z
@TheJonOsterman,Casting de golmons mdr,1,2025-05-09T10:28:59Z
@krystall8978,un episode avec Helena et Pierre svp hahah,0,2025-05-09T10:18:45Z
@moudj75,"Si j'avais eu Caroline quand je me suis fait les croisés, j'aurais signé au PSG en 2010",0,2025-05-09T10:08:49Z
@RadiateurCrasseux,Peut être pas assez de pubs dans la vidéo,0,2025-05-09T10:02:40Z
@biboulepodcast7928,Connais pas les invités,0,2025-05-09T09:52:56Z
@soushixxx3074,c'est quoi la ref de la casquette de Tiakola ?,0,2025-05-09T09:46:23Z
@Walid-tf4qf,Tiakola on va devoir venir l’éduquer ce p’tit enfant,1,2025-05-09T09:39:34Z
@ninomorgantini4114,Pour un prochaine imposteur tu peux essayer avec des acteurs ou rappeurs américains ?,0,2025-05-09T09:32:52Z
@turbolily2746,Pas ouf les invités pour cette fois. Trop de moqueries un peu gratuite .. de rires forcés. Mais il en faut pour tout le monde ! Ça reste divertissant.,1,2025-05-09T09:20:20Z
@MenOF350z,Ça me fume mdr même les profs de maths sont perdus dans les maths 😂,0,2025-05-09T09:14:35Z
@emelinefontvielle,merci tiako la video elle etait trop bien,0,2025-05-09T09:10:43Z
@matthieulanciaux6792,ingenieur en aeoronoautique à prof la descente aux enfers,1,2025-05-09T09:00:53Z
@henrimchn5089,"JP 50 ans, 25 ans de métier et 12 ans d'études... il a commencé a 13 ans le boug mdrr",0,2025-05-09T08:53:31Z
@Kronixl_officiel,🔥,0,2025-05-09T08:33:53Z
@Nihalllmlkk,VA RÉPONDRE A NRDTSSSSSSSSS,0,2025-05-09T08:33:14Z
@shroomishsupremacy,Les Hot Girls avouez on savait direct qui c'était l'imposteur à la première manche 😂,0,2025-05-09T08:31:45Z
@lisaadiko5149,Qu’est ce que c’est drôle 🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2025-05-09T08:31:42Z
@arnaudvancon948,Tiacola est totalement def et personne le remarque ? 😂,1,2025-05-09T08:08:08Z
@feyzaozturk2950,Déjà que cette video est une master class mais si il invite Naza et Gradur punaise il vont peter tout les scores !,0,2025-05-09T07:52:22Z
@fredericcarpentier9395,"Premier degré: ce genre de vidéo il faut la montrer aux jeunes monteurs, et à l'ensemble des pros de l'audiovisuel qui bossent en télé. C'est clair que cest maintenant a la tele de senrichir de tutube et plus linverse. Soyez aussi bons et créatifs que ça et les jeunes reviendront a la télé.",0,2025-05-09T07:34:11Z
@alexandrejouan5989,"Putain elle est vraiment barmaid, et sqeezi je regarde juste parce qu’il y a tiakola et SDM^^",0,2025-05-09T07:33:46Z
@alexandrejouan5989,C’est la meuf c’est sur elle tremble trop en faisant son verre mdrr que du par cœur,0,2025-05-09T07:28:23Z
@Lrz_68off,Un des meuilleur vraiment incroyable ❤,0,2025-05-09T07:18:25Z
@TheGhost-k7c,La mangueé,0,2025-05-09T07:10:41Z
@qqueena02,ON VEUT UNE PARTIE DEUUUUXXXX,1,2025-05-09T06:25:43Z
@timmatthys9542,Enguerrand c'est Mussetti,0,2025-05-09T06:11:34Z
@JenniferMendez-h8y4g,Who else is here before this blows up,0,2025-05-09T06:07:36Z
@pasmarrant,C’EST ABUSÉ DE FAIRE CONFIANCE À CHATGPT,0,2025-05-09T06:00:11Z
@pasmarrant,"OH LA DINGUERIE, CHATGPT TUE LE CERVEAU. 

LES GARS, LA RÉPONSE AU 2ème problème de Maths c’est 1h38 ! 
26 minutes C’EST PAS LA RÉPONSE",1,2025-05-09T05:59:51Z
